categorie,type,prix,adresse,lien
vetements-enfants,Vêtements enfants,4500.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5130020_uploaded_image1_1736594996.jpg
vetements-enfants,Vêtements enfants,4500.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5129146_uploaded_image1_1736533355.jpg
vetements-enfants,Ensemble pour enfant,8000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071417_uploaded_image1_1733140647.jpg
vetements-enfants,Vêtements bébé,1000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106688_uploaded_image1_1735128985.jpg
vetements-enfants,Vêtements bébé,1000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106673_uploaded_image1_1735128585.jpg
vetements-enfants,Vêtements bébé,1000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106669_uploaded_image1_1735128475.jpg
vetements-enfants,Vêtements bébé,1000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5106661_uploaded_image1_1735128299.jpg
vetements-enfants,Blouson pour enfant,8000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5058990_uploaded_image1_1732437877.jpg
vetements-enfants,Blouson pour enfants 100% coton 3 ans 9ans,8000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
vetements-enfants,Blouson  pour enfants 3ans à 10ans,8000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046278_uploaded_image1_1731706267.jpg
vetements-enfants,Blouson coton pour enfants de 1ans 8ans,8000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046169_uploaded_image1_1731701583.jpg
vetements-enfants,Blouson pour enfants 4ans à 15ans,8000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046164_uploaded_image1_1731701239.jpg
vetements-enfants,Blouson pour enfants de 4ans à 12ans,8000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046160_uploaded_image1_1731700970.jpg
vetements-enfants,Blouson pour enfants 1ans 5 ans,5000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046156_uploaded_image1_1731700664.jpg
vetements-enfants,Blouson pour enfants 3 ans à 8 ans,8000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5045455_uploaded_image1_1731673153.jpg
vetements-enfants,Ensemble Pul Enfants,18000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5081973_uploaded_image1_1733664739.jpg
vetements-enfants,Ensemble costumes enfants,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5081958_uploaded_image1_1733664149.jpg
vetements-enfants,Ensemble pour enfant cotton,6000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5028888_uploaded_image1_1730844775.jpg
vetements-enfants,Maillots enfants sénégal,10000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054255_uploaded_image2_1732155894.jpeg
vetements-enfants,Pantalon pour enfant 14ans 15ans,4000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976513_uploaded_image1_1728030461.jpg
vetements-enfants,Lot pyjamas enfant 6/8 ans,11000.0,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5014321_uploaded_image1_1730104437.jpg
vetements-enfants,Ensemble veste garçon 5 pièces,28000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5010327_uploaded_image1_1729813849.jpg
vetements-enfants,Costume enfant,28000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5010301_uploaded_image1_1729811616.jpg
vetements-enfants,Vêtements   pour enfant,10000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961200_uploaded_image1_1727261868.jpg
vetements-enfants,Ensemble pour enfant,10000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4961210_uploaded_image1_1727262074.jpg
vetements-enfants,Ensemble pour enfant 0ans jusqua 15ans,6000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4957241_uploaded_image1_1727083231.jpg
vetements-enfants,Pantalon enfants,6000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4945928_uploaded_image1_1726439169.jpg
vetements-enfants,Veste Jacadi,12000.0,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931211_uploaded_image1_1725627889.jpg
vetements-enfants,Veste Softshell,14000.0,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931208_uploaded_image1_1725627705.jpg
vetements-enfants,Serviette de bain pour bébé,4000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4861240_uploaded_image1_1721949203.jpg
vetements-enfants,Grenouillère bébé de 0- 24 mois,1500.0,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4877415_uploaded_image1_1722816062.jpg
